"","text","frequency","fontsize","cor","charge","gravity"
"4","AÉCIO",298662,50,"#800026",-200,0.1
"42","PT",273863,46,"#800026",-200,0.5
"66","DILMA",258703,43,"#BD0026",-200,0.5
"9","BRASIL",252866,42,"#BD0026",-200,0.5
"76","MARINA",232919,38,"#E31A1C",-200,0.5
"36","NEVES",230239,38,"#E31A1C",-60,1
"39","PODER",228279,37,"#E31A1C",-60,1
"25","GOVERNO",213120,34,"#E31A1C",-60,1
"13","CORRUPÇÃO",203767,33,"#FC4E2A",-60,1
"29","HOJE",176923,27,"#FD8D3C",-60,1
"22","FORMA",141839,21,"#FEB24C",-60,1
"20","EMPRESAS",141430,21,"#FEB24C",-60,1
"7","ASSALTO",139209,20,"#FEB24C",-60,1
"126","#MUDABRASIL",122934,17,"#FEB24C",-60,1
"208","PROGRAMA",118629,16,"#FED976",-60,1
"85","PRESIDENTE",110417,15,"#FED976",-60,1
"93","SILVA",108802,15,"#FED976",-60,1
"51","""",105457,14,"#FED976",-60,1
"28","HISTÓRIA",103406,14,"#FED976",-60,1
"82","POLÍTICA",97401,12,"#FED976",-60,1
"92","SER",92951,12,"#FFEDA0",-60,1
"134","COMPARTILHE",92519,11,"#FFEDA0",-60,1
"23","FUNDAMENTAL",92104,11,"#FFEDA0",-60,1
"5","AÍ",91922,11,"#FFEDA0",-60,1
"17","DINHEIRO",90181,11,"#FFEDA0",-60,1
"11","CHEGOU",89073,11,"#FFEDA0",-60,1
"12","CONTRA",87959,11,"#FFEDA0",-60,1
"19","ELEIÇÕES",87686,11,"#FFEDA0",-60,1
"112","VEJA",86922,10,"#FFEDA0",-60,1
"30","HORA",86048,10,"#FFEDA0",-60,1
"6","AINDA",85325,10,"#FFEDA0",-60,1
"8","BASTA",85284,10,"#FFEDA0",-60,1
"16","DENÚNCIAS",84489,10,"#FFEDA0",-60,1
"24","FUNDO",82393,10,"#FFEDA0",-60,1
"14","DARMOS",81800,9,"#FFEDA0",-60,1
"40","POSSAM",79939,9,"#FFEDA0",-60,1
"94","SOBRE",79399,9,"#FFEDA0",-60,1
"41","PROJETO",78193,9,"#FFEDA0",-60,1
"27","GRUPO",77989,9,"#FFEDA0",-60,1
"32","IR",76267,8,"#FFEDA0",-60,1
"3","ACREDITO",76235,8,"#FFEDA0",-60,1
"103","CANDIDATA",75518,8,"#FFEDA0",-60,1
"44","PUNIDOS",74522,8,"#FFEDA0",-60,1
"46","RESPONSÁVEIS",71786,8,"#FFEDA0",-60,1
"50","VERDADEIROS",71427,8,"#FFEDA0",-60,1
"35","MENSALÃO",71385,7,"#FFEDA0",-60,1
"18","DISPUTANDO",70668,7,"#FFEDA0",-60,1
"33","MANTERSE",70668,7,"#FFEDA0",-60,1
"34","MANUTENÇÃO",70668,7,"#FFEDA0",-60,1
"37","PATROCINANDO",70668,7,"#FFEDA0",-60,1
"43","PÚBLICAS",70668,7,"#FFEDA0",-60,1
"47","SUJO",70668,7,"#FFEDA0",-60,1
"49","UTILIZA",70668,7,"#FFEDA0",-60,1
"10","BRASILEIRAS",69553,7,"#FFEDA0",-60,1
"15","DEFINITIVA",69272,7,"#FFEDA0",-60,1
"48","TIRARMOS",69272,7,"#FFEDA0",-60,1
"31","INVESTIGAÇÕES",69255,7,"#FFEDA0",-60,1
"102","CAMPANHA",68984,7,"#FFEDA0",-60,1
"193","FAZER",68660,7,"#FFEDA0",-60,1
"2","ACORDOU",68541,7,"#FFEDA0",-60,1
"21","EXEMPLAR",68541,7,"#FFEDA0",-60,1
"26","GRAVES",68541,7,"#FFEDA0",-60,1
"38","PERPLEXO",68541,7,"#FFEDA0",-60,1
"45","RECENTE",68541,7,"#FFEDA0",-60,1
"345","NADA",64547,6,"#FFEDA0",-60,1
"235","PRESIDENTA",64349,6,"#FFEDA0",-60,1
"744","VIA",63858,6,"#FFEDA0",-60,1
"173","#SOUMARINA",61655,6,"#FFFFCC",-60,1
"183","VAI",61577,6,"#FFFFCC",-60,1
"67","DIZ",60594,5,"#FFFFCC",-60,1
"124","ROUSSEFF",59518,5,"#FFFFCC",-60,1
"54","ANOS",57170,5,"#FFFFCC",-60,1
"769","#ELEIÇÕES",55252,4,"#FFFFCC",-60,1
"200","PAÍS",54592,4,"#FFFFCC",-60,1
"770","ESTADÃO",52588,4,"#FFFFCC",-60,1
"88","REPÚBLICA",50774,4,"#FFFFCC",-60,1
"773","POLITICA",50461,4,"#FFFFCC",-60,1
"84","PRECISA",49022,3,"#FFFFCC",-60,1
"68","DIZER",48720,3,"#FFFFCC",-60,1
"73","FAZENDO",47766,3,"#FFFFCC",-60,1
"210","TV",47443,3,"#FFFFCC",-60,1
"55","CANDIDATO",46463,3,"#FFFFCC",-60,1
"171","PETROBRAS",46113,3,"#FFFFCC",-60,1
"356","TER",42500,2,"#FFFFCC",-60,1
"170","NOVO",42238,2,"#FFFFCC",-60,1
"213","APOIO",41166,2,"#FFFFCC",-60,1
"179","PORQUE",40935,2,"#FFFFCC",-60,1
"241","VÍDEO",40877,2,"#FFFFCC",-60,1
"96","TRAJETÓRIA",39809,2,"#FFFFCC",-60,1
"450","PODE",39313,1,"#FFFFCC",-60,1
"239","TODOS",38997,1,"#FFFFCC",-60,1
"590","ASSISTA",37618,1,"#FFFFCC",-60,1
"870","SABEM",37395,1,"#FFFFCC",-60,1
"212","APENAS",37114,1,"#FFFFCC",-60,1
"122","OPINIÃO",36996,1,"#FFFFCC",-60,1
"195","GENTE",36810,1,"#FFFFCC",-60,1
"99","AQUI",36177,1,"#FFFFCC",-60,1
"246","APÓS",36092,1,"#FFFFCC",-60,1
"837","EDUCAÇÃO",35185,1,"#FFFFCC",-60,1
"86","PSDB",34394,1,"#FFFFCC",-60,1
